Time,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z
16.95,-1.688,8.571,4.798,-8.293,-2.5,4.939
17,-0.292,8.152,5.442,-7.927,13.11,14.146
17.05,-0.328,8.217,4.518,-15.854,-6.585,7.134
17.1,0.081,7.542,5.167,-9.817,5.122,7.622
17.15,0.132,7.728,4.949,-9.085,-3.049,3.598
17.2,0.177,7.98,5.028,-8.659,2.256,5.244
17.25,0.438,8.071,4.872,-7.622,3.537,3.415
17.3,0.012,7.736,5.095,-6.707,-1.951,1.341
17.35,0.043,8.092,4.863,-9.268,-0.732,3.232
17.4,0.287,7.523,5.016,-7.256,5.305,4.634
17.45,0.01,7.561,5.124,-6.89,-0.915,5
17.5,1.132,7.661,4.913,-4.939,3.476,-1.098
17.55,0.855,7.405,5.387,-0.671,5.61,1.768
17.6,0.491,7.819,5.059,-1.585,1.098,-6.524
17.65,0.271,8.205,4.793,-9.329,0.488,-10.915
17.7,0.247,8.162,4.693,-6.402,-2.805,-8.537
17.75,-0.223,7.985,4.975,-33.171,0.915,0.671
17.8,4.824,7.333,8.796,-43.537,8.171,1.098
17.85,0.354,6.857,5.363,-26.585,2.744,-4.146
17.9,-0.146,6.443,6.333,-18.049,-5.183,-11.28
17.95,0.28,6.917,5.921,-17.256,-0.366,-7.012
18,0.115,6.036,6.404,-18.415,0.976,-5.366
18.05,0.218,5.595,6.946,-8.11,-2.134,-8.78
18.1,0.026,6.258,6.464,-5.183,-2.805,-7.317
18.15,0.445,6.476,6.323,-12.866,1.037,-1.098
18.2,-0.268,6.462,6.314,-15.549,-15.61,-2.134
18.25,0.204,6.385,6.778,-19.329,-0.854,-3.293
18.3,0.426,5.691,6.938,-17.256,1.707,1.037
18.35,0.302,6.275,6.895,-14.085,5.488,4.146
18.4,0.347,4.992,6.546,-2.5,2.134,-1.22
18.45,0.18,5.509,7.008,2.134,3.049,-1.402
18.5,0.204,5.306,7.151,0.427,4.146,-0.305
18.55,0.443,5.741,7.037,-0.854,3.171,-15.61
18.6,0.192,5.543,7.015,-0.671,8.354,4.451
18.65,0.443,5.787,6.929,-0.061,6.28,1.646
