Time,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z
15.05,-4.089,8.985,-0.785,1.707,3.415,-0.61
15.1,-4.092,8.926,-1.274,1.463,1.22,2.134
15.15,-4.475,8.686,-0.838,-3.11,-1.098,8.841
15.2,-4.46,8.823,-0.56,-3.11,-2.805,13.902
15.25,-4.092,8.945,-0.378,6.341,-0.549,21.402
15.3,-3.804,9.313,-0.136,11.89,1.768,21.22
15.35,-3.388,10.005,-1.149,8.78,7.378,22.561
15.4,-2.957,9.618,-0.922,1.89,6.646,20.854
15.45,-2.224,9.29,-0.881,2.622,1.524,30.671
15.5,-2.78,9.385,-0.84,-2.012,0.183,16.829
15.55,-2.617,9.67,-0.946,-2.866,15.305,18.354
15.6,-2.365,10.195,-0.771,2.256,2.195,17.5
15.65,-2.258,10.245,-0.931,1.28,3.902,16.341
15.7,-2.497,9.67,-0.639,0.122,2.622,15.793
15.75,-2.389,9.27,-0.713,0.793,1.524,18.78
15.8,-2.076,9.744,-0.481,1.28,2.134,18.841
15.85,-0.998,9.876,-0.524,8.659,3.11,-0.549
15.9,-1.559,10.07,-1.729,-1.707,2.988,-3.293
15.95,-1.65,10.096,-1.312,-6.341,1.402,-5.549
16.0,-1.875,9.917,-0.594,-3.171,2.561,-2.073
16.05,-1.788,9.938,-0.704,5.732,2.195,2.195
16.1,-1.513,9.828,-1.14,2.988,4.329,0.122
16.15,-1.566,9.515,-1.109,-1.829,1.341,-2.927
16.2,-1.489,9.536,-0.481,1.768,-0.671,-2.134
16.25,-2.025,9.39,-0.824,6.28,-4.756,3.293
16.3,-1.401,9.864,-0.984,2.683,-8.293,6.402
16.35,-0.998,9.845,-1.113,-0.305,-8.659,13.659
16.4,-1.494,9.821,-0.577,1.463,-9.695,11.524
16.45,-1.875,9.931,-0.39,14.207,-11.098,8.293
16.5,-1.192,10.187,-1.8,12.195,-7.988,10.488
16.55,-0.663,10.077,-1.487,4.817,-8.11,11.524
16.6,-0.879,10.032,-1.906,1.402,-7.256,13.537
16.65,-0.79,9.371,-1.113,0.183,-9.573,0.854
16.7,-0.553,9.917,-0.895,-1.646,-10.61,14.268
16.75,-0.553,10.168,-1.185,-1.159,-11.098,15.061
16.8,-0.692,10.633,-0.778,0.061,-11.341,16.585
16.85,-0.795,9.596,-1.298,1.951,-8.841,19.634
16.9,-0.043,9.469,-1.013,1.28,-8.537,16.768
16.95,1.595,10.077,-1.298,-10.244,1.098,15.183
17.0,0.721,9.838,-0.862,-10.976,-0.549,-1.28
17.05,0.364,10.479,-1.257,-2.134,2.378,4.939
17.1,0.254,10.108,-1.058,3.415,1.646,-4.085
17.15,-0.388,10.187,-1.621,-2.988,3.232,-2.805
17.2,-0.467,9.969,-1.535,-3.537,-2.073,-0.488
17.25,0.685,9.922,-0.79,1.098,-2.195,-13.78
17.3,0.424,10.511,-1.209,1.829,-4.329,-10.61
17.35,0.043,10.568,-0.826,1.159,-0.915,-17.439
17.4,0.385,9.625,-1.259,-0.061,-1.89,-11.098
17.45,-0.17,9.471,-0.857,3.598,-3.293,-11.098
17.5,-0.419,9.888,-1.041,6.22,-0.244,-12.622
17.55,-0.024,10.453,-1.197,4.146,-0.488,-9.512
17.6,-0.51,10.197,-1.128,-1.402,15.244,-0.061
17.65,-1.245,9.969,-1.188,8.598,2.195,-10.976
17.7,-0.632,9.359,-0.915,8.841,1.037,-8.232
17.75,-0.982,10.173,-1.674,1.585,-1.89,-7.805
17.8,-1.044,10.345,-0.939,0.976,-0.183,-6.707
17.85,-0.974,9.699,-1.35,8.415,3.11,-3.293
17.9,-0.9,9.957,-1.262,9.207,0.366,-1.037
17.95,-0.263,10.281,-1.544,3.598,0.732,-0.427
18.0,-0.038,10.168,-1.683,-0.732,2.195,-3.11
18.05,-0.153,9.764,-1.508,0.671,3.78,-1.89
18.1,-0.476,10.307,-1.329,1.585,5.549,-5.488
18.15,-0.735,10.575,-2.138,2.439,-0.244,1.22
18.2,-0.026,10.376,-1.721,2.622,4.329,1.951
18.25,0.086,10.53,-1.24,1.341,-0.549,-0.671
18.3,-0.122,10.774,-1.877,-6.524,5.183,1.28
18.35,0.373,10.475,-1.219,-14.024,5.183,-4.512
18.4,-0.845,10.156,-1.164,-30.732,7.195,-4.878
18.45,-0.615,9.845,-0.764,-30.427,11.402,2.805
18.5,-0.848,10.772,-1.051,-15.549,6.159,15.427
18.55,-0.687,10.142,-0.831,-8.415,10.061,2.622
18.6,0.172,10.376,-0.12,-4.329,9.207,3.963
18.65,0.103,9.529,-0.017,3.171,12.622,6.402
18.7,0.043,10.118,-0.584,14.329,9.878,6.341
18.75,-1.753,10.139,-1.556,18.354,29.146,10.305
18.8,-0.05,10.199,-1.626,13.72,7.744,9.451
18.85,0.089,10.046,-2.105,20.366,14.146,5.061
18.9,-0.249,10.772,-3.711,7.866,7.439,0.732
18.95,-0.05,10.446,-3.148,-15.549,0.305,1.098
19.0,-0.127,10.099,-1.879,-35.0,-2.5,-7.317
